ID,img_path,Description,Question,A,B,C,D,answer
TRAIN_306,./dataset/generated/images/scene_131.jpg,"A man is in a gym, wearing black shorts and a tank top, and is lifting weights. He is holding a barbell and appears to be in the process of lifting it.",What is the man wearing in the gym?,A tank top and shorts,A shirt and pants,A shirt and shorts,A shirt and pants,A
TRAIN_307,./dataset/generated/images/scene_1310.jpg,"A man and a woman are sitting in a helicopter, flying over a beautiful landscape. They are holding hands and enjoying the view.",What is the man and woman doing in the helicopter?,Flying over the landscape,Looking at the view,Holding hands,Talking to each other,A
TRAIN_308,./dataset/generated/images/scene_1311.jpg,"Two women are sitting at a table in a cafe, enjoying their drinks. One of them is holding a cup of coffee, and the other has a cup of hot chocolate. They are both smiling and appear to be having a pleasant time.",What is the woman holding in her hand?,A cup of coffee,A cup of hot chocolate,A cell phone,A book,A
TRAIN_309,./dataset/generated/images/scene_1312.jpg,A person is writing in a notebook with a pencil. The notebook is open and placed on a table.,What is the person writing in the notebook?,A letter,A list,A journal entry,A math problem,C
TRAIN_310,./dataset/generated/images/scene_1313.jpg,A man is taking a picture of a woman using his cell phone. They are sitting at a table with a cup and a potted plant nearby.,What is the man doing with the woman's picture on his cell phone?,Sharing it with friends,Saving it to his gallery,Posting it on social media,Texting it to someone,A
TRAIN_311,./dataset/generated/images/scene_1314.jpg,"A woman is sitting at a table, writing in a notebook. She has a cup of coffee in front of her.",What is the woman doing in the image?,Drinking coffee,Writing in a notebook,Eating a meal,Talking on the phone,B
TRAIN_312,./dataset/generated/images/scene_1315.jpg,A woman with blonde hair is sitting at a table with a cup of coffee in front of her. She is wearing glasses and has a potted plant next to her.,What is the woman's hair color?,Black,Brown,Red,Blonde,D
TRAIN_313,./dataset/generated/images/scene_1316.jpg,A person is writing in a notebook with a purple pen. The notebook is open and placed on a table. There are also some potted plants and a cup nearby.,What is the person writing in the notebook?,A letter,A journal entry,A shopping list,A to-do list,B
TRAIN_314,./dataset/generated/images/scene_1317.jpg,"A woman with long brown hair is sitting on a bench, looking at a man. They are both outside, possibly in a park.",What is the woman wearing?,A white shirt,A blue shirt,A pink shirt,A black shirt,A
TRAIN_315,./dataset/generated/images/scene_1318.jpg,"A woman with brown hair is sitting outside, smiling and looking at the camera. She is wearing a white shirt and a brown jacket.",What is the woman wearing?,A white shirt and a brown jacket,A brown jacket and a white shirt,A white shirt and a brown jacket,A brown jacket and a white shirt,A
TRAIN_316,./dataset/generated/images/scene_1319.jpg,A person is hanging from a tree with their hand on a branch. The tree is filled with colorful balls.,What is the person hanging from the tree doing?,Climbing,Playing,Hanging,Resting,C
TRAIN_317,./dataset/generated/images/scene_1320.jpg,"A person is holding a cell phone with a picture of a city street on the screen. The street is illuminated by lights, and there are multiple cars and a bus visible in the scene.",What is the main focus of the image?,A person holding a cell phone,A city street at night,A person taking a picture of the city street,A person holding a cell phone with a picture of a city street on the screen,D
TRAIN_318,./dataset/generated/images/scene_1321.jpg,A person is writing in a book while holding a pen. There are also some books and a cup on the table.,What is the person holding in their hand?,Pen,Cup,Book,Cell phone,A
TRAIN_319,./dataset/generated/images/scene_1322.jpg,"A slice of chocolate cake with chocolate chips on top, sitting on a white plate.",What is the main ingredient in the cake?,Flour,Chocolate,Vanilla,Fruit,B
TRAIN_320,./dataset/generated/images/scene_1323.jpg,A plate of chicken wings with a side of ranch dressing.,What is the main dish on the plate?,Chicken wings,Ranch dressing,Lime,Green beans,A
TRAIN_321,./dataset/generated/images/scene_1324.jpg,A dessert with a scoop of ice cream on top of it.,What is the dessert topped with?,Ice cream,Fruit,Chocolate,Nuts,A
TRAIN_322,./dataset/generated/images/scene_1325.jpg,A plate of sushi with rice and fish.,What is the main ingredient in sushi?,Rice,Fish,Vegetables,Soy sauce,A
TRAIN_323,./dataset/generated/images/scene_1326.jpg,"A table with a plate of pasta, a bowl of pasta, and a loaf of bread. There is also a wine glass and a fork on the table.",What is the main dish on the table?,Pasta,Bread,Wine,Pizza,A
TRAIN_324,./dataset/generated/images/scene_137.jpg,A small stream of water with grass growing on the banks. There are trees in the background and a pond nearby.,What is the main feature of the image?,A pond,A stream of water,Trees,Grass,B
TRAIN_325,./dataset/generated/images/scene_138.jpg,"A busy city street with tall buildings, people walking, and cars driving. A man in a suit is walking down the street, and there are multiple buses and cars on the road.",What is the man in the suit walking towards?,Bus,Car,Bus stop,Bus stop,A
TRAIN_326,./dataset/generated/images/scene_139.jpg,"A group of people, including a man and a woman, are sitting on the beach. They are smiling and enjoying their time together. There are umbrellas set up for shade, and a few beach chairs are also present.",What is the main activity of the people in the image?,Swimming,Sunbathing,Talking and smiling,Building sandcastles,C
TRAIN_327,./dataset/generated/images/scene_14.jpg,A person is holding a cell phone and looking at a picture of a street. The image is taken through a glass window.,What is the person holding in their hand?,A book,A cell phone,A remote control,A cup,B
TRAIN_328,./dataset/generated/images/scene_140.jpg,"A woman is climbing a rocky mountain, wearing a backpack and holding onto a rope. She is smiling and appears to be enjoying the adventure.",What is the woman wearing?,A blue jacket,A gray jacket,A black jacket,A red jacket,A
TRAIN_329,./dataset/generated/images/scene_141.jpg,"A busy city street with tall buildings, cars, and people.",What is the main activity in the image?,People walking on the sidewalk,Cars driving on the street,Traffic lights controlling the flow of traffic,Pedestrians crossing the street,A
TRAIN_330,./dataset/generated/images/scene_142.jpg,"The image features a beautiful sunset over the ocean. The sun is setting behind the ocean, casting a warm glow on the water. The sky is filled with vibrant colors, creating a serene and picturesque scene.",What is the main subject of the image?,The ocean,The sun,The sunset,The sky,C
TRAIN_331,./dataset/generated/images/scene_143.jpg,The image shows a foggy forest with many trees. The trees are tall and appear to be bare. The fog creates a mysterious atmosphere in the forest.,What is the main subject of the image?,A forest,A foggy forest,A group of people,A cityscape,B
TRAIN_332,./dataset/generated/images/scene_144.jpg,"The image features a city skyline with a rainbow in the sky. The rainbow is visible over the city, creating a beautiful and colorful scene. The city is filled with tall buildings, and the skyline is bustling with activity.",What is the primary focus of the image?,The city skyline,The rainbow in the sky,The tall buildings,The colorful skyline,A
TRAIN_333,./dataset/generated/images/scene_145.jpg,"The image features a beach at sunset with the ocean in the background. The sky is filled with stars, and the water appears to be calm.",What is the main subject of the image?,The ocean,The beach,The sunset,The stars,B
TRAIN_334,./dataset/generated/images/scene_146.jpg,"The image features a beautiful canyon with a river flowing through it. The canyon is illuminated by a starry night sky, and the water appears to be glowing. The scene is breathtaking and serene.",What is the main subject of the image?,A waterfall,A river flowing through a canyon,A starry night sky,A mountain range,B
TRAIN_335,./dataset/generated/images/scene_147.jpg,"The image features a beautiful sunset over a field of grass. The sun is setting in the background, casting a warm glow over the landscape. The sky is filled with clouds, adding to the picturesque scene.",What is the main subject of the image?,A field of grass,The sunset,The clouds,The sun,A
TRAIN_336,./dataset/generated/images/scene_148.jpg,"A group of people, including a man and a woman, are standing in front of a waterfall. They are wearing backpacks and appear to be enjoying their time in the outdoors.",What is the group of people standing in front of?,A river,A waterfall,A lake,A mountain,B
TRAIN_337,./dataset/generated/images/scene_149.jpg,A rainbow is seen in the sky above a forest filled with trees. The rainbow is colorful and appears to be in the middle of the forest.,What is the main subject of the image?,A rainbow,Trees,Sky,Forest,A
TRAIN_338,./dataset/generated/images/scene_15.jpg,"A group of people are sitting on the beach, enjoying the sunset and each other's company. They are drinking from cups and bottles, and some of them are wearing bikinis.",What is the group of people doing on the beach?,Playing beach volleyball,Watching the sunset,Swimming in the ocean,All of the above,D
TRAIN_339,./dataset/generated/images/scene_150.jpg,"A group of five ducks swimming in a lake, with trees in the background.",What is the color of the ducks in the image?,Green,Yellow,White,Black,A
TRAIN_340,./dataset/generated/images/scene_151.jpg,A beautiful sunset over a city with a field of flowers in the foreground.,What is the main focus of the image?,The city skyline,The field of flowers,The sunset,The trucks in the background,B
TRAIN_341,./dataset/generated/images/scene_152.jpg,"A restaurant with a colorful table and chairs. The table is surrounded by colorful chairs, and there are cups on the table. The restaurant has a cozy atmosphere.",What color are the chairs in the restaurant?,Purple,Red,Blue,Yellow,A
TRAIN_342,./dataset/generated/images/scene_153.jpg,"A wooden dining table with a variety of food and drinks on it. There are cups, bowls, and plates of food, as well as a vase. The table is set for a meal, and there are chairs around it.",What is the main focus of the image?,The chairs,The food and drinks on the table,The vase,The wooden table,B
TRAIN_343,./dataset/generated/images/scene_154.jpg,A bar with a neon lighted ceiling and a table with chairs. The chairs are yellow and the table is pink.,What color are the chairs at the bar?,Yellow,Red,Green,Blue,A
TRAIN_344,./dataset/generated/images/scene_155.jpg,"A group of people are standing in front of food trucks, ordering food. There are several food trucks, including one with a pink and green color scheme.",What is the main focus of the image?,People ordering food,The food trucks,The food being served,The colorful food truck,A
TRAIN_345,./dataset/generated/images/scene_156.jpg,The image features a vineyard with many green vines growing on a fence. There are also several grapes visible on the vines.,What is the primary purpose of the fence in the image?,To keep the grapes off the ground,To provide support for the vines,To protect the vines from animals,To keep the vines from spreading to other areas,B
TRAIN_346,./dataset/generated/images/scene_157.jpg,"A large crowd of people gathered in a stadium, taking pictures and recording videos with their cell phones.",What is the primary activity of the people in the image?,Watching a performance,Taking pictures and recording videos,Playing sports,Socializing,B
TRAIN_347,./dataset/generated/images/scene_158.jpg,A man wearing headphones and holding a guitar is singing into a microphone.,What is the man holding?,Microphone,Guitar,Microphone and Guitar,Microphone and Guitar,B
TRAIN_348,./dataset/generated/images/scene_159.jpg,"A man is sitting on the sidewalk with a guitar, playing it. He is wearing a blue jacket and has a backpack next to him.",What is the man playing with the guitar?,A drum,A violin,A keyboard,A harmonica,A
TRAIN_349,./dataset/generated/images/scene_16.jpg,"A group of people walking down a city street at night, with bright lights and neon signs illuminating the area.",What is the main activity in the image?,Walking,Talking,Eating,Drinking,A
TRAIN_350,./dataset/generated/images/scene_160.jpg,A man wearing headphones and a black jacket is playing a guitar.,What is the man wearing?,Headphones,Jacket,Shirt,Pants,A
TRAIN_351,./dataset/generated/images/scene_161.jpg,"Two men are standing on a stage in front of a large crowd. They are playing guitars and singing into microphones. The stage is illuminated with lights, and the audience is filled with people of all ages.",What is the main activity in the image?,The two men playing guitars and singing into microphones,The large crowd watching the performance,The stage being illuminated with lights,The audience members taking pictures,A
TRAIN_352,./dataset/generated/images/scene_162.jpg,"A large stadium filled with people watching a soccer game. The stadium has a retractable roof, and the field is surrounded by a large number of spectators.",What is the primary purpose of the stadium in the image?,Hosting concerts,Hosting soccer games,Hosting baseball games,Hosting basketball games,B
TRAIN_353,./dataset/generated/images/scene_163.jpg,A group of women wearing tennis outfits are standing on a tennis court. They are holding tennis rackets and appear to be engaged in a conversation.,What is the main activity of the women in the image?,Playing tennis,Talking to each other,Walking on the tennis court,All of the above,D
TRAIN_354,./dataset/generated/images/scene_164.jpg,"A basketball game is taking place with two men playing against each other. One man is jumping in the air to shoot the basketball, while the other man is trying to block the shot. The game is being watched by a crowd of people.",What is the main focus of the image?,The basketball players,The crowd watching the game,The basketball court,The basketball game,A
TRAIN_355,./dataset/generated/images/scene_165.jpg,"A group of people running a race, wearing numbers and running shoes.",What is the main activity in the image?,Running,Walking,Jogging,Sitting,A
TRAIN_356,./dataset/generated/images/scene_166.jpg,A young boy is playing soccer on a field. He is wearing a green shirt and is about to kick a soccer ball. There are two other boys watching him play.,What color is the boy's shirt?,Red,Green,White,Blue,B
TRAIN_357,./dataset/generated/images/scene_167.jpg,"A group of women are sitting around a table, enjoying a meal together. They are smiling and having a good time. There are wine glasses and a bottle of wine on the table.",What is the main activity in the image?,Eating,Drinking,Smiling,All of the above,D
TRAIN_358,./dataset/generated/images/scene_168.jpg,"A store with a counter displaying various types of fruit juices and smoothies. There are multiple cups and bowls of fruit, including apples, oranges, and broccoli. A potted plant is also present in the store.",What type of store is this?,Grocery store,Juice bar,Fruit stand,Restaurant,B
TRAIN_359,./dataset/generated/images/scene_169.jpg,"A group of people are sitting at picnic tables under a tree, enjoying a meal together.",What is the main activity in the image?,Eating,Drinking,Sitting,Walking,A
TRAIN_360,./dataset/generated/images/scene_17.jpg,"A group of six people are walking through a forest, each carrying a backpack. They are hiking through a rocky area with a waterfall nearby.",What is the group of people carrying in their backpacks?,Food,Water,Clothes,Cameras,A
TRAIN_361,./dataset/generated/images/scene_170.jpg,A group of women playing volleyball on a sandy beach. They are wearing bikinis and are in the middle of a game.,What is the main activity in the image?,Swimming,Playing volleyball,Sunbathing,Surfing,B
TRAIN_362,./dataset/generated/images/scene_171.jpg,Three people are wearing Santa hats and are holding Christmas presents. They are smiling and enjoying the holiday season.,What is the main theme of the image?,Christmas,Winter,Halloween,Easter,A
TRAIN_363,./dataset/generated/images/scene_172.jpg,"A group of people, including children, are sitting around a picnic table in a park. They are enjoying a meal together, with various food items such as sandwiches and a cake.",What is the main activity in the image?,Eating,Playing,Sitting,Walking,A
TRAIN_364,./dataset/generated/images/scene_173.jpg,A man in a suit is sitting at a desk and typing on a laptop. He is wearing glasses and has a cup of coffee in front of him.,What is the man wearing?,Suit,Shirt,Tie,Glasses,A
TRAIN_365,./dataset/generated/images/scene_174.jpg,A group of young men are standing around a wooden table with a basket of fruit on it. They are holding drinks and engaging in conversation.,What is the main activity in the image?,Playing basketball,Eating fruit,Drinking beverages,All of the above,D
TRAIN_366,./dataset/generated/images/scene_175.jpg,"A family is sitting around a dining table, enjoying a meal together. They are smiling and laughing, with a variety of food items on the table, including bowls, cups, and a wine glass.",What is the main activity in the image?,Eating,Drinking,Laughing,Smiling,A
TRAIN_367,./dataset/generated/images/scene_176.jpg,"A family is sitting together on a couch, enjoying each other's company. They are holding cups and eating cake.",What is the family doing in the image?,Watching TV,Eating cake,Drinking coffee,Playing video games,B
TRAIN_368,./dataset/generated/images/scene_177.jpg,A table full of food with various dishes and bowls of different sizes. There are also wine glasses and utensils like forks and knives.,What is the main focus of the image?,Food,Wine glasses,Utensils,Table setting,A
TRAIN_369,./dataset/generated/images/scene_178.jpg,A large sandwich is cut in half and placed on a plate. There are several people walking around in the background.,What is the main focus of the image?,The people walking around,The large sandwich,The people walking around and the large sandwich,The people walking around and the large sandwich,C
TRAIN_370,./dataset/generated/images/scene_179.jpg,A man and a child are standing in front of a colorful food truck. The man is wearing a blue shirt and a hat. The food truck is selling food and drinks.,What is the man wearing?,Hat,Shirt,Hat and shirt,Hat and jacket,A
TRAIN_371,./dataset/generated/images/scene_18.jpg,A group of horses grazing on a lush green hillside.,What color are the horses in the image?,Red,White,Black,Brown,A
TRAIN_372,./dataset/generated/images/scene_180.jpg,A colorful vending machine with a variety of snacks and drinks.,What is the primary function of the vending machine?,To sell snacks and drinks,To provide information about the products,To serve as a decoration,To provide entertainment,A
TRAIN_373,./dataset/generated/images/scene_181.jpg,"A woman is standing in front of a table filled with fresh vegetables, including tomatoes, peppers, and broccoli. She is smiling and appears to be enjoying her time at the market.",What is the woman's expression?,Sad,Angry,Happy,Neutral,C
TRAIN_374,./dataset/generated/images/scene_182.jpg,A busy city street with people walking and a large number of signs.,What is the main activity in the image?,People walking on the street,Shopping in stores,Taking pictures,All of the above,D
TRAIN_375,./dataset/generated/images/scene_183.jpg,"A group of people, including both men and women, are standing on a beach near the ocean. They are enjoying their time together, and some of them are playing with a frisbee.",What is the group of people doing on the beach?,Playing with a frisbee,Standing and socializing,Swimming in the ocean,All of the above,D
TRAIN_376,./dataset/generated/images/scene_184.jpg,"A busy city street with cars, buses, and trucks driving down the road. The street is filled with traffic, and there are tall buildings in the background.",What is the primary mode of transportation in the image?,Car,Bus,Truck,Van,A
TRAIN_377,./dataset/generated/images/scene_185.jpg,"A group of people are sitting on a blanket in a park, enjoying the outdoors. There are several individuals scattered throughout the scene, with some sitting closer to the foreground and others further back. A tree is visible in the background, providing shade for the group.",What is the main activity of the people in the image?,Playing sports,Sitting on a blanket,Walking around the park,Eating,B
TRAIN_378,./dataset/generated/images/scene_186.jpg,"A group of people, including both adults and children, are gathered around a table with a birthday cake. They are smiling and enjoying the celebration.",What is the main focus of the image?,The cake,The people,The table,The balloons,B
TRAIN_379,./dataset/generated/images/scene_187.jpg,"A beautiful beach scene with a large body of water, palm trees, and a few people enjoying the view.",What is the main focus of the image?,The ocean,The beach,The palm trees,The people,A
TRAIN_380,./dataset/generated/images/scene_188.jpg,"A group of people are sitting on the beach under a large umbrella. They are enjoying their time together, and some of them are wearing sunglasses.",What is the main activity of the people in the image?,Swimming,Sunbathing,Playing beach games,All of the above,D
TRAIN_381,./dataset/generated/images/scene_189.jpg,"A man is sitting on the beach, holding a fishing rod and a fish. He is wearing a blue shirt and a hat. There are several chairs and umbrellas in the area.",What is the man holding in his hand?,Fishing rod,Fish,Umbrella,Chair,A
TRAIN_382,./dataset/generated/images/scene_19.jpg,"A group of people are gathered around a table filled with food, including pizza and drinks. They are enjoying a meal together and smiling.",What is the main activity in the image?,Eating,Drinking,Smiling,Talking,A
TRAIN_383,./dataset/generated/images/scene_190.jpg,A woman in a white bikini top is smiling and taking a selfie in the ocean.,What is the woman wearing in the image?,A white bikini top,A white shirt,A white dress,A white jacket,A
TRAIN_384,./dataset/generated/images/scene_191.jpg,"A man and a woman are sitting on a bed, enjoying a glass of wine. They are surrounded by palm trees, indicating a tropical setting.",What is the man and woman doing in the image?,Drinking wine,Sitting on a bed,Enjoying the tropical setting,All of the above,D
TRAIN_385,./dataset/generated/images/scene_192.jpg,"A family is sitting on the beach, enjoying a picnic with a variety of fruits and snacks. They are smiling and having a good time together.",What is the family doing on the beach?,Playing games,Eating and smiling,Swimming,Building sandcastles,B
TRAIN_386,./dataset/generated/images/scene_193.jpg,"A group of surfers wearing wetsuits and standing on the beach, looking at the ocean.",What are the surfers wearing?,Swimsuits,Wetsuits,Life jackets,Surfboards,B
TRAIN_387,./dataset/generated/images/scene_194.jpg,A man wearing a blue shirt and standing in front of a building.,What color is the man's shirt?,White,Blue,Red,Black,B
TRAIN_388,./dataset/generated/images/scene_195.jpg,"A woman in a pink swimsuit is laying on a blanket on a beach, looking at the camera.",What is the woman wearing in the image?,A bikini,A one-piece swimsuit,A tank top,A dress,B
TRAIN_389,./dataset/generated/images/scene_196.jpg,"A man and a woman are walking on the beach, holding hands. They are smiling and enjoying their time together.",What is the man and woman doing in the image?,Walking on the beach,Holding hands,Smiling,All of the above,D
TRAIN_390,./dataset/generated/images/scene_199.jpg,A person holding a cell phone with a picture of food on it.,What is the person holding in their hand?,A cup,A cell phone,A bowl,A spoon,B
TRAIN_391,./dataset/generated/images/scene_2.jpg,"A group of people are sitting on the beach, enjoying a meal together. They have a variety of foods, including shrimp, tomatoes, and other items. There are also multiple bowls and plates of food on the table.",What is the main activity in the image?,People are sitting on the beach.,People are eating food.,People are enjoying a meal together.,People are playing games.,C
TRAIN_392,./dataset/generated/images/scene_20.jpg,"A large crowd of people is gathered in front of the Eiffel Tower, which is a famous landmark in Paris. The tower is surrounded by trees and buildings, creating a picturesque scene.",What is the main attraction in the image?,The Eiffel Tower,The Arc de Triomphe,The Louvre Museum,Notre-Dame Cathedral,A
TRAIN_393,./dataset/generated/images/scene_200.jpg,"A family is sitting together on a couch, posing for a picture. They are smiling and enjoying each other's company.",What is the family doing in the image?,Playing video games,Watching TV,Eating,Talking,B
TRAIN_394,./dataset/generated/images/scene_201.jpg,"Three people are sitting around a table, engaged in a conversation. They are wearing suits and ties, and there are papers on the table.",What is the main purpose of the meeting?,Business discussion,Social gathering,Job interview,Casual conversation,A
TRAIN_395,./dataset/generated/images/scene_202.jpg,"A group of children playing in a park. One boy is sitting on the grass, and the other boys are standing around him. They are playing with a toy, and there are multiple sports balls and a frisbee on the ground.",What is the boy sitting on the grass doing?,Playing with the frisbee,Playing with the sports balls,Standing up,Sitting on the grass,D
TRAIN_396,./dataset/generated/images/scene_203.jpg,"A group of people are standing together, smiling and holding wine glasses. They are in a room with a bar and a stage.",What is the main activity in the image?,Drinking wine,Smiling and socializing,Performing on stage,All of the above,D
TRAIN_397,./dataset/generated/images/scene_204.jpg,"A woman is sitting in a library, looking at a book. She is wearing a sweater and has a cup of coffee in front of her. There are other people in the library, some of them are also reading books.",What is the woman in the image doing?,Reading a book,Drinking coffee,Looking at a book,Sitting in a library,C
TRAIN_398,./dataset/generated/images/scene_205.jpg,"A man is sitting on a bench, looking at his cell phone. He is wearing a sweater and has a beard.",What is the man doing with his cell phone?,Texting,Browsing the internet,Playing a game,Taking a picture,A
TRAIN_399,./dataset/generated/images/scene_206.jpg,"A man and a woman are sitting at a table, looking at their cell phones. They are both smiling and appear to be enjoying their time together.",What is the man and woman doing in the image?,Looking at their cell phones,Talking to each other,Playing a game,Watching TV,A
TRAIN_400,./dataset/generated/images/scene_207.jpg,"A group of people sitting around a table, smiling and laughing while looking at their cell phones.",What is the group of people doing in the image?,Playing a game,Watching a movie,Taking a selfie,Looking at their cell phones,D
TRAIN_401,./dataset/generated/images/scene_208.jpg,"A man is sitting on a couch, using a laptop. He is wearing a gray shirt and appears to be relaxed.",What is the man wearing?,A gray shirt,A white shirt,A black shirt,A red shirt,A
TRAIN_402,./dataset/generated/images/scene_209.jpg,"A woman is sitting on a park bench, looking at her cell phone. She is wearing a green shirt and a blue skirt.",What is the woman wearing?,A green shirt and a blue skirt,A blue shirt and a green skirt,A green shirt and a blue dress,A blue shirt and a green skirt,A
TRAIN_403,./dataset/generated/images/scene_21.jpg,"A busy city street filled with traffic, including cars and trucks. There are multiple traffic lights along the street. The street is lined with tall buildings, and there are people walking on the sidewalks.",What is the primary mode of transportation in the image?,Car,Truck,Bus,Train,A
TRAIN_404,./dataset/generated/images/scene_210.jpg,"A woman is sitting at a table in a coffee shop, smiling and holding a cup of coffee. There are other people in the background, and the coffee shop has a cozy atmosphere.",What is the woman holding in her hand?,A cup of coffee,A cell phone,A book,A laptop,A
TRAIN_405,./dataset/generated/images/scene_211.jpg,"A large display of fresh vegetables, including red peppers, green peppers, and purple peppers, are arranged in baskets and piled up in a market.",What color are the green peppers in the image?,Yellow,Green,Purple,Red,B
TRAIN_406,./dataset/generated/images/scene_212.jpg,A beach scene with many people and colorful umbrellas.,What is the main activity taking place in the image?,Swimming,Sunbathing,Building sandcastles,Surfing,B
TRAIN_407,./dataset/generated/images/scene_213.jpg,"A woman is sitting at a table in a restaurant, smiling and looking at the camera. The table is set with a cup, a bowl, and a spoon. There are chairs around the table, and the restaurant has a cozy atmosphere.",What is the woman sitting at?,A desk,A table,A chair,A counter,B
TRAIN_408,./dataset/generated/images/scene_214.jpg,A black and white cow is grazing on a lush green hillside. The cow is standing in a field with a mountain in the background.,What is the cow grazing on?,Grass,Flowers,Trees,Hay,A
TRAIN_409,./dataset/generated/images/scene_215.jpg,A man wearing a tie and a gray shirt is sitting at a desk with a cup of coffee in front of him. He is smiling and appears to be enjoying his coffee.,What is the man wearing?,A suit,A shirt and tie,A dress,A hat,B
TRAIN_410,./dataset/generated/images/scene_216.jpg,"A woman and a child are sitting at a table, smiling and enjoying a meal together. There are several bowls of food on the table, and a few apples are also present.",What is the main focus of the image?,The woman and the child,The food on the table,The apples on the table,The table itself,A
TRAIN_411,./dataset/generated/images/scene_217.jpg,"A group of four women are sitting at a bar, smiling and holding glasses of beer. They are enjoying their time together and having a good laugh.",What is the main activity of the women in the image?,Drinking beer,Smiling and laughing,Talking and socializing,Playing a game,A
TRAIN_412,./dataset/generated/images/scene_218.jpg,"A group of people are sitting on the grass, enjoying a sunny day. They are smiling and having a good time. Some of them are holding cell phones.",What is the group of people doing?,Playing a game,Taking a selfie,Watching a movie,Eating,B
TRAIN_413,./dataset/generated/images/scene_219.jpg,"Four women are standing in a store, posing for a picture. They are wearing different outfits and are smiling.",What is the main activity in the image?,Shopping,Posing for a picture,Talking,Walking,B
TRAIN_414,./dataset/generated/images/scene_22.jpg,A large passenger jet is flying low over a group of people walking on a tarmac. The jet is flying so low that it appears to be almost touching the ground.,What is the jet flying over?,A beach,A forest,A parking lot,A group of people walking on a tarmac,D
TRAIN_415,./dataset/generated/images/scene_220.jpg,"A man is standing on a sidewalk at night, looking at his cell phone. There are other people in the background.",What is the man doing with his cell phone?,Texting,Taking a picture,Making a call,Browsing the internet,A
TRAIN_416,./dataset/generated/images/scene_221.jpg,"A group of people standing in a forest, surrounded by trees and greenery. They are posing for a picture, and some of them are holding backpacks.",What is the main activity of the group in the image?,Hiking,Taking a picture,Camping,All of the above,A
TRAIN_417,./dataset/generated/images/scene_222.jpg,"A woman is standing on a ledge of a tall building, looking down at the city below. She is holding onto a metal bar for support.",What is the woman holding onto?,A metal bar,A rope,A pole,A ladder,A
TRAIN_418,./dataset/generated/images/scene_223.jpg,"A forest with many trees and moss on the ground. The sun is shining through the trees, creating a beautiful scene.",What is the main subject of the image?,A forest,A sunset,A sunrise,A cityscape,A
TRAIN_419,./dataset/generated/images/scene_224.jpg,"A beautiful mountain landscape with a valley and a river. The mountains are covered with snow, and the valley is filled with green grass.",What is the main feature of the image?,Snow-covered mountains,A river flowing through the valley,Green grass covering the valley,A beautiful sunset,A
TRAIN_420,./dataset/generated/images/scene_225.jpg,"A group of four people, two men and two women, are standing together in a forest. They are smiling and posing for a picture.",What is the group of people standing in?,A field,A forest,A park,A desert,B
TRAIN_421,./dataset/generated/images/scene_226.jpg,"A woman is standing on a rooftop in a city, looking out over the cityscape. She is wearing a red jacket and has a handbag with her.",What is the woman wearing?,A red jacket,A black jacket,A white jacket,A yellow jacket,A
TRAIN_422,./dataset/generated/images/scene_227.jpg,A busy city street with people walking and cars driving. The street is lined with buildings and has a sidewalk.,What is the main activity on this street?,People walking,Cars driving,Bicycles riding,All of the above,D
TRAIN_423,./dataset/generated/images/scene_228.jpg,"The image features a path surrounded by trees, with a dirt road and a wooden path. The path is covered in moss, giving it a unique appearance.",What is the main element of the image?,Trees,Path,Moss,Dirt road,B
TRAIN_424,./dataset/generated/images/scene_229.jpg,"Three people are sitting on a grassy hillside, overlooking a valley with a mountain in the background. They are wearing backpacks and appear to be enjoying the view.",What are the three people doing in the image?,Hiking,Sitting,Taking a break,All of the above,D
TRAIN_425,./dataset/generated/images/scene_23.jpg,A busy city street filled with people walking down the sidewalk. The street is lined with many signs and buildings.,What is the main activity in the image?,People walking on the sidewalk,Shopping in stores,Eating in restaurants,All of the above,D
TRAIN_426,./dataset/generated/images/scene_24.jpg,A busy city street filled with people walking and standing. Many of them are carrying handbags and backpacks.,What is the main activity in the image?,People walking on the street,People standing on the street,People carrying handbags and backpacks,People shopping in a market,A
TRAIN_427,./dataset/generated/images/scene_240.jpg,"A beautiful waterfall surrounded by lush greenery, with a river flowing underneath it.",What is the main feature of the image?,A waterfall,A river,A forest,A mountain,A
TRAIN_428,./dataset/generated/images/scene_241.jpg,"The image is a bird's eye view of a large city with many skyscrapers. The city is bustling with activity, and the buildings are tall and impressive.",What is the main subject of the image?,A single skyscraper,A group of skyscrapers,A cityscape,A rural landscape,B
TRAIN_429,./dataset/generated/images/scene_242.jpg,A busy city street at night with people walking and traffic.,What is the main activity in the image?,People walking on the street,Traffic on the street,People walking on the sidewalk,Traffic on the sidewalk,A
TRAIN_430,./dataset/generated/images/scene_243.jpg,"The image features a beautiful beach scene with a sunset in the background. The sun is setting over the ocean, creating a serene atmosphere. There are two palm trees in the foreground, and the ocean is visible in the background.",What is the main subject of the image?,The sunset,The ocean,The palm trees,The beach,A
TRAIN_431,./dataset/generated/images/scene_244.jpg,"The image features a beautiful river flowing through a lush green valley, surrounded by mountains. The river is surrounded by trees and rocks, creating a serene and picturesque scene.",What is the main focus of the image?,The river,The mountains,The trees,The rocks,A
TRAIN_432,./dataset/generated/images/scene_25.jpg,A group of people walking down a busy street in an Asian city. They are walking in front of a building with many signs on it.,What is the main activity in the image?,People walking on the street,Shopping in a store,Eating in a restaurant,All of the above,A
